viti,komuna,personeli administrativ,gjinia,Personeli administrativ sipas niveleve
2016/2017,Deçan,I mesëm i lartë,Meshkuj,9
2016/2017,Deçan,I mesëm i lartë,Femra,1
2016/2017,Deçan,I mesëm i lartë,Gjithsej,10
2016/2017,Dragash,Parashkollor,Meshkuj,-
2016/2017,Dragash,Parashkollor,Femra,-
2016/2017,Dragash,Parashkollor,Gjithsej,-
2016/2017,Dragash,Fillor dhe i mesëm i ulët,Meshkuj,16
2016/2017,Dragash,Fillor dhe i mesëm i ulët,Femra,0
2016/2017,Dragash,Fillor dhe i mesëm i ulët,Gjithsej,16
2016/2017,Dragash,I mesëm i lartë,Meshkuj,1
2016/2017,Dragash,I mesëm i lartë,Femra,-
2016/2017,Dragash,I mesëm i lartë,Gjithsej,1
2016/2017,Ferizaj,Parashkollor,Meshkuj,-
2016/2017,Ferizaj,Parashkollor,Femra,-
2016/2017,Ferizaj,Parashkollor,Gjithsej,-
2016/2017,Ferizaj,Fillor dhe i mesëm i ulët,Meshkuj,80
2016/2017,Ferizaj,Fillor dhe i mesëm i ulët,Femra,25
2016/2017,Ferizaj,Fillor dhe i mesëm i ulët,Gjithsej,105
2016/2017,Ferizaj,I mesëm i lartë,Meshkuj,32
2016/2017,Ferizaj,I mesëm i lartë,Femra,7
2016/2017,Ferizaj,I mesëm i lartë,Gjithsej,39
2016/2017,Fushë Kosovë,Parashkollor,Meshkuj,-
2016/2017,Fushë Kosovë,Parashkollor,Femra,3
2016/2017,Fushë Kosovë,Parashkollor,Gjithsej,3
2016/2017,Fushë Kosovë,Fillor dhe i mesëm i ulët,Meshkuj,15
2016/2017,Fushë Kosovë,Fillor dhe i mesëm i ulët,Femra,6
2016/2017,Fushë Kosovë,Fillor dhe i mesëm i ulët,Gjithsej,21
2016/2017,Fushë Kosovë,I mesëm i lartë,Meshkuj,3
2016/2017,Fushë Kosovë,I mesëm i lartë,Femra,-
2016/2017,Fushë Kosovë,I mesëm i lartë,Gjithsej,3
2016/2017,Gjakovë,Parashkollor,Meshkuj,1
2016/2017,Gjakovë,Parashkollor,Femra,4
2016/2017,Gjakovë,Parashkollor,Gjithsej,5
2016/2017,Gjakovë,Fillor dhe i mesëm i ulët,Meshkuj,56
2016/2017,Gjakovë,Fillor dhe i mesëm i ulët,Femra,17
2016/2017,Gjakovë,Fillor dhe i mesëm i ulët,Gjithsej,73
2016/2017,Gjakovë,I mesëm i lartë,Meshkuj,8
2016/2017,Gjakovë,I mesëm i lartë,Femra,3
2016/2017,Gjakovë,I mesëm i lartë,Gjithsej,11
2016/2017,Gjilan,Parashkollor,Meshkuj,1
2016/2017,Gjilan,Parashkollor,Femra,4
2016/2017,Gjilan,Parashkollor,Gjithsej,5
2016/2017,Gjilan,Fillor dhe i mesëm i ulët,Meshkuj,41
2016/2017,Gjilan,Fillor dhe i mesëm i ulët,Femra,12
2016/2017,Gjilan,Fillor dhe i mesëm i ulët,Gjithsej,53
2016/2017,Gjilan,I mesëm i lartë,Meshkuj,21
2016/2017,Gjilan,I mesëm i lartë,Femra,1
2016/2017,Gjilan,I mesëm i lartë,Gjithsej,22
2016/2017,Gllogovc,Parashkollor,Meshkuj,-
2016/2017,Gllogovc,Parashkollor,Femra,2
2016/2017,Gllogovc,Parashkollor,Gjithsej,2
2016/2017,Gllogovc,Fillor dhe i mesëm i ulët,Meshkuj,43
2016/2017,Gllogovc,Fillor dhe i mesëm i ulët,Femra,8
2016/2017,Gllogovc,Fillor dhe i mesëm i ulët,Gjithsej,51
2016/2017,Gllogovc,I mesëm i lartë,Meshkuj,6
2016/2017,Gllogovc,I mesëm i lartë,Femra,2
2016/2017,Gllogovc,I mesëm i lartë,Gjithsej,8
2016/2017,Hani i Elezit,Parashkollor,Meshkuj,-
2016/2017,Hani i Elezit,Parashkollor,Femra,-
2016/2017,Hani i Elezit,Parashkollor,Gjithsej,-
2016/2017,Hani i Elezit,Fillor dhe i mesëm i ulët,Meshkuj,5
2016/2017,Hani i Elezit,Fillor dhe i mesëm i ulët,Femra,-
2016/2017,Hani i Elezit,Fillor dhe i mesëm i ulët,Gjithsej,5
2016/2017,Hani i Elezit,I mesëm i lartë,Meshkuj,1
2016/2017,Hani i Elezit,I mesëm i lartë,Femra,-
2016/2017,Hani i Elezit,I mesëm i lartë,Gjithsej,1
2016/2017,Istog,Parashkollor,Meshkuj,-
2016/2017,Istog,Parashkollor,Femra,3
2016/2017,Istog,Parashkollor,Gjithsej,3
2016/2017,Istog,Fillor dhe i mesëm i ulët,Meshkuj,18
2016/2017,Istog,Fillor dhe i mesëm i ulët,Femra,5
2016/2017,Istog,Fillor dhe i mesëm i ulët,Gjithsej,23
2016/2017,Istog,I mesëm i lartë,Meshkuj,2
2016/2017,Istog,I mesëm i lartë,Femra,1
2016/2017,Istog,I mesëm i lartë,Gjithsej,3
2016/2017,Junik,Parashkollor,Meshkuj,-
2016/2017,Junik,Parashkollor,Femra,-
2016/2017,Junik,Parashkollor,Gjithsej,-
2016/2017,Junik,Fillor dhe i mesëm i ulët,Meshkuj,2
2016/2017,Junik,Fillor dhe i mesëm i ulët,Femra,-
2016/2017,Junik,Fillor dhe i mesëm i ulët,Gjithsej,2
2016/2017,Junik,I mesëm i lartë,Meshkuj,1
2016/2017,Junik,I mesëm i lartë,Femra,-
2016/2017,Junik,I mesëm i lartë,Gjithsej,1
2016/2017,Kaçanik,Parashkollor,Meshkuj,-
2016/2017,Kaçanik,Parashkollor,Femra,2
2016/2017,Kaçanik,Parashkollor,Gjithsej,2
2016/2017,Kaçanik,Fillor dhe i mesëm i ulët,Meshkuj,24
2016/2017,Kaçanik,Fillor dhe i mesëm i ulët,Femra,3
2016/2017,Kaçanik,Fillor dhe i mesëm i ulët,Gjithsej,27
2016/2017,Kaçanik,I mesëm i lartë,Meshkuj,7
2016/2017,Kaçanik,I mesëm i lartë,Femra,-
2016/2017,Kaçanik,I mesëm i lartë,Gjithsej,7
2016/2017,Kamenicë,Parashkollor,Meshkuj,1
2016/2017,Kamenicë,Parashkollor,Femra,2
2016/2017,Kamenicë,Parashkollor,Gjithsej,3
2016/2017,Kamenicë,Fillor dhe i mesëm i ulët,Meshkuj,19
2016/2017,Kamenicë,Fillor dhe i mesëm i ulët,Femra,6
2016/2017,Kamenicë,Fillor dhe i mesëm i ulët,Gjithsej,25
2016/2017,Kamenicë,I mesëm i lartë,Meshkuj,5
2016/2017,Kamenicë,I mesëm i lartë,Femra,1
2016/2017,Kamenicë,I mesëm i lartë,Gjithsej,6
2016/2017,Klinë,Parashkollor,Meshkuj,-
2016/2017,Klinë,Parashkollor,Femra,1
2016/2017,Klinë,Parashkollor,Gjithsej,1
2016/2017,Klinë,Fillor dhe i mesëm i ulët,Meshkuj,22
2016/2017,Klinë,Fillor dhe i mesëm i ulët,Femra,5
2016/2017,Klinë,Fillor dhe i mesëm i ulët,Gjithsej,27
2016/2017,Klinë,I mesëm i lartë,Meshkuj,2
2016/2017,Klinë,I mesëm i lartë,Femra,1
2016/2017,Klinë,I mesëm i lartë,Gjithsej,3
2016/2017,Leposaviq,Parashkollor,Meshkuj,-
2016/2017,Leposaviq,Parashkollor,Femra,-
2016/2017,Leposaviq,Parashkollor,Gjithsej,-
2016/2017,Leposaviq,Fillor dhe i mesëm i ulët,Meshkuj,-
2016/2017,Leposaviq,Fillor dhe i mesëm i ulët,Femra,1
2016/2017,Leposaviq,Fillor dhe i mesëm i ulët,Gjithsej,1
