viti,komuna,personeli administrativ,gjinia,Personeli administrativ sipas niveleve
2019/2020,Gllogovc,Fillor dhe i mesëm i ulët,Gjithsej,49
2019/2020,Gllogovc,I mesëm i lartë,Meshkuj,6
2019/2020,Gllogovc,I mesëm i lartë,Femra,2
2019/2020,Gllogovc,I mesëm i lartë,Gjithsej,8
2019/2020,Hani i Elezit,Parashkollor,Meshkuj,-
2019/2020,Hani i Elezit,Parashkollor,Femra,-
2019/2020,Hani i Elezit,Parashkollor,Gjithsej,-
2019/2020,Hani i Elezit,Fillor dhe i mesëm i ulët,Meshkuj,5
2019/2020,Hani i Elezit,Fillor dhe i mesëm i ulët,Femra,-
2019/2020,Hani i Elezit,Fillor dhe i mesëm i ulët,Gjithsej,5
2019/2020,Hani i Elezit,I mesëm i lartë,Meshkuj,1
2019/2020,Hani i Elezit,I mesëm i lartë,Femra,-
2019/2020,Hani i Elezit,I mesëm i lartë,Gjithsej,1
2019/2020,Istog,Parashkollor,Meshkuj,-
2019/2020,Istog,Parashkollor,Femra,4
2019/2020,Istog,Parashkollor,Gjithsej,4
2019/2020,Istog,Fillor dhe i mesëm i ulët,Meshkuj,13
2019/2020,Istog,Fillor dhe i mesëm i ulët,Femra,4
2019/2020,Istog,Fillor dhe i mesëm i ulët,Gjithsej,17
2019/2020,Istog,I mesëm i lartë,Meshkuj,3
2019/2020,Istog,I mesëm i lartë,Femra,2
2019/2020,Istog,I mesëm i lartë,Gjithsej,5
2019/2020,Junik,Parashkollor,Meshkuj,-
2019/2020,Junik,Parashkollor,Femra,-
2019/2020,Junik,Parashkollor,Gjithsej,-
2019/2020,Junik,Fillor dhe i mesëm i ulët,Meshkuj,2
2019/2020,Junik,Fillor dhe i mesëm i ulët,Femra,-
2019/2020,Junik,Fillor dhe i mesëm i ulët,Gjithsej,2
2019/2020,Junik,I mesëm i lartë,Meshkuj,1
2019/2020,Junik,I mesëm i lartë,Femra,-
2019/2020,Junik,I mesëm i lartë,Gjithsej,1
2019/2020,Kaçanik,Parashkollor,Meshkuj,-
2019/2020,Kaçanik,Parashkollor,Femra,-
2019/2020,Kaçanik,Parashkollor,Gjithsej,-
2019/2020,Kaçanik,Fillor dhe i mesëm i ulët,Meshkuj,23
2019/2020,Kaçanik,Fillor dhe i mesëm i ulët,Femra,3
2019/2020,Kaçanik,Fillor dhe i mesëm i ulët,Gjithsej,26
2019/2020,Kaçanik,I mesëm i lartë,Meshkuj,4
2019/2020,Kaçanik,I mesëm i lartë,Femra,-
2019/2020,Kaçanik,I mesëm i lartë,Gjithsej,4
2019/2020,Kamenicë,Parashkollor,Meshkuj,-
2019/2020,Kamenicë,Parashkollor,Femra,3
2019/2020,Kamenicë,Parashkollor,Gjithsej,3
2019/2020,Kamenicë,Fillor dhe i mesëm i ulët,Meshkuj,16
2019/2020,Kamenicë,Fillor dhe i mesëm i ulët,Femra,9
2019/2020,Kamenicë,Fillor dhe i mesëm i ulët,Gjithsej,25
2019/2020,Kamenicë,I mesëm i lartë,Meshkuj,3
2019/2020,Kamenicë,I mesëm i lartë,Femra,1
2019/2020,Kamenicë,I mesëm i lartë,Gjithsej,4
2019/2020,Klinë,Parashkollor,Meshkuj,-
2019/2020,Klinë,Parashkollor,Femra,5
2019/2020,Klinë,Parashkollor,Gjithsej,5
2019/2020,Klinë,Fillor dhe i mesëm i ulët,Meshkuj,22
2019/2020,Klinë,Fillor dhe i mesëm i ulët,Femra,6
2019/2020,Klinë,Fillor dhe i mesëm i ulët,Gjithsej,28
2019/2020,Klinë,I mesëm i lartë,Meshkuj,5
2019/2020,Klinë,I mesëm i lartë,Femra,2
2019/2020,Klinë,I mesëm i lartë,Gjithsej,7
2019/2020,Leposaviq,Parashkollor,Meshkuj,-
2019/2020,Leposaviq,Parashkollor,Femra,-
2019/2020,Leposaviq,Parashkollor,Gjithsej,-
2019/2020,Leposaviq,Fillor dhe i mesëm i ulët,Meshkuj,-
2019/2020,Leposaviq,Fillor dhe i mesëm i ulët,Femra,1
2019/2020,Leposaviq,Fillor dhe i mesëm i ulët,Gjithsej,1
2019/2020,Leposaviq,I mesëm i lartë,Meshkuj,-
2019/2020,Leposaviq,I mesëm i lartë,Femra,-
2019/2020,Leposaviq,I mesëm i lartë,Gjithsej,-
2019/2020,Lipjan,Parashkollor,Meshkuj,1
2019/2020,Lipjan,Parashkollor,Femra,1
2019/2020,Lipjan,Parashkollor,Gjithsej,2
2019/2020,Lipjan,Fillor dhe i mesëm i ulët,Meshkuj,29
2019/2020,Lipjan,Fillor dhe i mesëm i ulët,Femra,9
2019/2020,Lipjan,Fillor dhe i mesëm i ulët,Gjithsej,38
2019/2020,Lipjan,I mesëm i lartë,Meshkuj,7
2019/2020,Lipjan,I mesëm i lartë,Femra,2
2019/2020,Lipjan,I mesëm i lartë,Gjithsej,9
2019/2020,Malishevë,Parashkollor,Meshkuj,1
2019/2020,Malishevë,Parashkollor,Femra,-
2019/2020,Malishevë,Parashkollor,Gjithsej,1
2019/2020,Malishevë,Fillor dhe i mesëm i ulët,Meshkuj,32
2019/2020,Malishevë,Fillor dhe i mesëm i ulët,Femra,9
2019/2020,Malishevë,Fillor dhe i mesëm i ulët,Gjithsej,41
2019/2020,Malishevë,I mesëm i lartë,Meshkuj,11
2019/2020,Malishevë,I mesëm i lartë,Femra,3
2019/2020,Malishevë,I mesëm i lartë,Gjithsej,14
2019/2020,Mamushë,Parashkollor,Meshkuj,-
2019/2020,Mamushë,Parashkollor,Femra,-
2019/2020,Mamushë,Parashkollor,Gjithsej,-
2019/2020,Mamushë,Fillor dhe i mesëm i ulët,Meshkuj,3
2019/2020,Mamushë,Fillor dhe i mesëm i ulët,Femra,-
2019/2020,Mamushë,Fillor dhe i mesëm i ulët,Gjithsej,3
2019/2020,Mamushë,I mesëm i lartë,Meshkuj,1
2019/2020,Mamushë,I mesëm i lartë,Femra,-
2019/2020,Mamushë,I mesëm i lartë,Gjithsej,1
2019/2020,Mitrovicë,Parashkollor,Meshkuj,-
2019/2020,Mitrovicë,Parashkollor,Femra,2
2019/2020,Mitrovicë,Parashkollor,Gjithsej,2
2019/2020,Mitrovicë,Fillor dhe i mesëm i ulët,Meshkuj,41
2019/2020,Mitrovicë,Fillor dhe i mesëm i ulët,Femra,21
2019/2020,Mitrovicë,Fillor dhe i mesëm i ulët,Gjithsej,62
2019/2020,Mitrovicë,I mesëm i lartë,Meshkuj,11
2019/2020,Mitrovicë,I mesëm i lartë,Femra,7
2019/2020,Mitrovicë,I mesëm i lartë,Gjithsej,18
2019/2020,Novobërdë,Parashkollor,Meshkuj,-
2019/2020,Novobërdë,Parashkollor,Femra,-
2019/2020,Novobërdë,Parashkollor,Gjithsej,-
2019/2020,Novobërdë,Fillor dhe i mesëm i ulët,Meshkuj,4
2019/2020,Novobërdë,Fillor dhe i mesëm i ulët,Femra,2
2019/2020,Novobërdë,Fillor dhe i mesëm i ulët,Gjithsej,6
2019/2020,Novobërdë,I mesëm i lartë,Meshkuj,1
2019/2020,Novobërdë,I mesëm i lartë,Femra,-
2019/2020,Novobërdë,I mesëm i lartë,Gjithsej,1
2019/2020,Obiliq,Parashkollor,Meshkuj,-
2019/2020,Obiliq,Parashkollor,Femra,2
2019/2020,Obiliq,Parashkollor,Gjithsej,2
2019/2020,Obiliq,Fillor dhe i mesëm i ulët,Meshkuj,10
2019/2020,Obiliq,Fillor dhe i mesëm i ulët,Femra,7
2019/2020,Obiliq,Fillor dhe i mesëm i ulët,Gjithsej,17
2019/2020,Obiliq,I mesëm i lartë,Meshkuj,4
2019/2020,Obiliq,I mesëm i lartë,Femra,-
2019/2020,Obiliq,I mesëm i lartë,Gjithsej,4
2019/2020,Pejë,Parashkollor,Meshkuj,-
2019/2020,Pejë,Parashkollor,Femra,2
2019/2020,Pejë,Parashkollor,Gjithsej,2
2019/2020,Pejë,Fillor dhe i mesëm i ulët,Meshkuj,44
2019/2020,Pejë,Fillor dhe i mesëm i ulët,Femra,31
2019/2020,Pejë,Fillor dhe i mesëm i ulët,Gjithsej,75
2019/2020,Pejë,I mesëm i lartë,Meshkuj,10
2019/2020,Pejë,I mesëm i lartë,Femra,4
2019/2020,Pejë,I mesëm i lartë,Gjithsej,14
2019/2020,Podujevë,Parashkollor,Meshkuj,-
2019/2020,Podujevë,Parashkollor,Femra,4
2019/2020,Podujevë,Parashkollor,Gjithsej,4
2019/2020,Podujevë,Fillor dhe i mesëm i ulët,Meshkuj,51
2019/2020,Podujevë,Fillor dhe i mesëm i ulët,Femra,22
2019/2020,Podujevë,Fillor dhe i mesëm i ulët,Gjithsej,73
2019/2020,Podujevë,I mesëm i lartë,Meshkuj,5
2019/2020,Podujevë,I mesëm i lartë,Femra,7
2019/2020,Podujevë,I mesëm i lartë,Gjithsej,12
2019/2020,Prishtinë,Parashkollor,Meshkuj,4
2019/2020,Prishtinë,Parashkollor,Femra,25
2019/2020,Prishtinë,Parashkollor,Gjithsej,29
2019/2020,Prishtinë,Fillor dhe i mesëm i ulët,Meshkuj,47
2019/2020,Prishtinë,Fillor dhe i mesëm i ulët,Femra,74
2019/2020,Prishtinë,Fillor dhe i mesëm i ulët,Gjithsej,121
2019/2020,Prishtinë,I mesëm i lartë,Meshkuj,40
2019/2020,Prishtinë,I mesëm i lartë,Femra,20
2019/2020,Prishtinë,I mesëm i lartë,Gjithsej,60
2019/2020,Prizren,Parashkollor,Meshkuj,-
2019/2020,Prizren,Parashkollor,Femra,-
2019/2020,Prizren,Parashkollor,Gjithsej,-
2019/2020,Prizren,Fillor dhe i mesëm i ulët,Meshkuj,68
2019/2020,Prizren,Fillor dhe i mesëm i ulët,Femra,30
2019/2020,Prizren,Fillor dhe i mesëm i ulët,Gjithsej,98
2019/2020,Prizren,I mesëm i lartë,Meshkuj,24
2019/2020,Prizren,I mesëm i lartë,Femra,11
2019/2020,Prizren,I mesëm i lartë,Gjithsej,35
2019/2020,Rahovec,Parashkollor,Meshkuj,-
2019/2020,Rahovec,Parashkollor,Femra,1
2019/2020,Rahovec,Parashkollor,Gjithsej,1
2019/2020,Rahovec,Fillor dhe i mesëm i ulët,Meshkuj,26
2019/2020,Rahovec,Fillor dhe i mesëm i ulët,Femra,3
2019/2020,Rahovec,Fillor dhe i mesëm i ulët,Gjithsej,29
2019/2020,Rahovec,I mesëm i lartë,Meshkuj,3
2019/2020,Rahovec,I mesëm i lartë,Femra,1
2019/2020,Rahovec,I mesëm i lartë,Gjithsej,4
2019/2020,Shtërpcë,Parashkollor,Meshkuj,-
2019/2020,Shtërpcë,Parashkollor,Femra,-
2019/2020,Shtërpcë,Parashkollor,Gjithsej,-
2019/2020,Shtërpcë,Fillor dhe i mesëm i ulët,Meshkuj,2
2019/2020,Shtërpcë,Fillor dhe i mesëm i ulët,Femra,-
2019/2020,Shtërpcë,Fillor dhe i mesëm i ulët,Gjithsej,2
2019/2020,Shtërpcë,I mesëm i lartë,Meshkuj,1
2019/2020,Shtërpcë,I mesëm i lartë,Femra,-
2019/2020,Shtërpcë,I mesëm i lartë,Gjithsej,1
2019/2020,Shtime,Parashkollor,Meshkuj,-
2019/2020,Shtime,Parashkollor,Femra,1
2019/2020,Shtime,Parashkollor,Gjithsej,1
2019/2020,Shtime,Fillor dhe i mesëm i ulët,Meshkuj,9
2019/2020,Shtime,Fillor dhe i mesëm i ulët,Femra,4
2019/2020,Shtime,Fillor dhe i mesëm i ulët,Gjithsej,13
2019/2020,Shtime,I mesëm i lartë,Meshkuj,1
2019/2020,Shtime,I mesëm i lartë,Femra,-
2019/2020,Shtime,I mesëm i lartë,Gjithsej,1
2019/2020,Skënderaj,Parashkollor,Meshkuj,-
2019/2020,Skënderaj,Parashkollor,Femra,3
2019/2020,Skënderaj,Parashkollor,Gjithsej,3
2019/2020,Skënderaj,Fillor dhe i mesëm i ulët,Meshkuj,40
2019/2020,Skënderaj,Fillor dhe i mesëm i ulët,Femra,7
2019/2020,Skënderaj,Fillor dhe i mesëm i ulët,Gjithsej,47
2019/2020,Skënderaj,I mesëm i lartë,Meshkuj,14
2019/2020,Skënderaj,I mesëm i lartë,Femra,2
2019/2020,Skënderaj,I mesëm i lartë,Gjithsej,16
2019/2020,Suharekë,Parashkollor,Meshkuj,-
2019/2020,Suharekë,Parashkollor,Femra,2
2019/2020,Suharekë,Parashkollor,Gjithsej,2
2019/2020,Suharekë,Fillor dhe i mesëm i ulët,Meshkuj,34
2019/2020,Suharekë,Fillor dhe i mesëm i ulët,Femra,10
2019/2020,Suharekë,Fillor dhe i mesëm i ulët,Gjithsej,44
2019/2020,Suharekë,I mesëm i lartë,Meshkuj,7
2019/2020,Suharekë,I mesëm i lartë,Femra,3
2019/2020,Suharekë,I mesëm i lartë,Gjithsej,10
2019/2020,Viti,Parashkollor,Meshkuj,-
2019/2020,Viti,Parashkollor,Femra,2
2019/2020,Viti,Parashkollor,Gjithsej,2
2019/2020,Viti,Fillor dhe i mesëm i ulët,Meshkuj,23
2019/2020,Viti,Fillor dhe i mesëm i ulët,Femra,5
2019/2020,Viti,Fillor dhe i mesëm i ulët,Gjithsej,28
2019/2020,Viti,I mesëm i lartë,Meshkuj,7
2019/2020,Viti,I mesëm i lartë,Femra,-
2019/2020,Viti,I mesëm i lartë,Gjithsej,7
2019/2020,Vushtrri,Parashkollor,Meshkuj,4
2019/2020,Vushtrri,Parashkollor,Femra,3
2019/2020,Vushtrri,Parashkollor,Gjithsej,7
2019/2020,Vushtrri,Fillor dhe i mesëm i ulët,Meshkuj,41
2019/2020,Vushtrri,Fillor dhe i mesëm i ulët,Femra,11
2019/2020,Vushtrri,Fillor dhe i mesëm i ulët,Gjithsej,52
2019/2020,Vushtrri,I mesëm i lartë,Meshkuj,15
2019/2020,Vushtrri,I mesëm i lartë,Femra,1
2019/2020,Vushtrri,I mesëm i lartë,Gjithsej,16
2019/2020,Zubin Potok,Parashkollor,Meshkuj,-
2019/2020,Zubin Potok,Parashkollor,Femra,-
2019/2020,Zubin Potok,Parashkollor,Gjithsej,-
2019/2020,Zubin Potok,Fillor dhe i mesëm i ulët,Meshkuj,1
2019/2020,Zubin Potok,Fillor dhe i mesëm i ulët,Femra,1
2019/2020,Zubin Potok,Fillor dhe i mesëm i ulët,Gjithsej,2
2019/2020,Zubin Potok,I mesëm i lartë,Meshkuj,-
2019/2020,Zubin Potok,I mesëm i lartë,Femra,-
2019/2020,Zubin Potok,I mesëm i lartë,Gjithsej,-
2019/2020,Zveçan,Parashkollor,Meshkuj,-
2019/2020,Zveçan,Parashkollor,Femra,-
2019/2020,Zveçan,Parashkollor,Gjithsej,-
2019/2020,Zveçan,Fillor dhe i mesëm i ulët,Meshkuj,1
2019/2020,Zveçan,Fillor dhe i mesëm i ulët,Femra,-
2019/2020,Zveçan,Fillor dhe i mesëm i ulët,Gjithsej,1
2019/2020,Zveçan,I mesëm i lartë,Meshkuj,-
2019/2020,Zveçan,I mesëm i lartë,Femra,-
2019/2020,Zveçan,I mesëm i lartë,Gjithsej,-
2019/2020,Kllokot,Parashkollor,Meshkuj,-
2019/2020,Kllokot,Parashkollor,Femra,-
2019/2020,Kllokot,Parashkollor,Gjithsej,-
2019/2020,Kllokot,Fillor dhe i mesëm i ulët,Meshkuj,1
2019/2020,Kllokot,Fillor dhe i mesëm i ulët,Femra,-
2019/2020,Kllokot,Fillor dhe i mesëm i ulët,Gjithsej,1
2019/2020,Kllokot,I mesëm i lartë,Meshkuj,-
2019/2020,Kllokot,I mesëm i lartë,Femra,-
2019/2020,Kllokot,I mesëm i lartë,Gjithsej,-
2019/2020,Gjithsej,Parashkollor,Meshkuj,10
2019/2020,Gjithsej,Parashkollor,Femra,79
2019/2020,Gjithsej,Parashkollor,Gjithsej,89
2019/2020,Gjithsej,Fillor dhe i mesëm i ulët,Meshkuj,800
2019/2020,Gjithsej,Fillor dhe i mesëm i ulët,Femra,352
2019/2020,Gjithsej,Fillor dhe i mesëm i ulët,Gjithsej,1152
2019/2020,Gjithsej,I mesëm i lartë,Meshkuj,238
2019/2020,Gjithsej,I mesëm i lartë,Femra,87
2019/2020,Gjithsej,I mesëm i lartë,Gjithsej,325
2020/2021,Deçan,Parashkollor,Meshkuj,-
2020/2021,Deçan,Parashkollor,Femra,-
2020/2021,Deçan,Parashkollor,Gjithsej,-
2020/2021,Deçan,Fillor dhe i mesëm i ulët,Meshkuj,19
2020/2021,Deçan,Fillor dhe i mesëm i ulët,Femra,4
2020/2021,Deçan,Fillor dhe i mesëm i ulët,Gjithsej,23
2020/2021,Deçan,I mesëm i lartë,Meshkuj,8
2020/2021,Deçan,I mesëm i lartë,Femra,1
2020/2021,Deçan,I mesëm i lartë,Gjithsej,9
2020/2021,Dragash,Parashkollor,Meshkuj,-
2020/2021,Dragash,Parashkollor,Femra,-
2020/2021,Dragash,Parashkollor,Gjithsej,-
2020/2021,Dragash,Fillor dhe i mesëm i ulët,Meshkuj,17
2020/2021,Dragash,Fillor dhe i mesëm i ulët,Femra,-
2020/2021,Dragash,Fillor dhe i mesëm i ulët,Gjithsej,17
2020/2021,Dragash,I mesëm i lartë,Meshkuj,3
2020/2021,Dragash,I mesëm i lartë,Femra,-
2020/2021,Dragash,I mesëm i lartë,Gjithsej,3
2020/2021,Ferizaj,Parashkollor,Meshkuj,-
2020/2021,Ferizaj,Parashkollor,Femra,3
2020/2021,Ferizaj,Parashkollor,Gjithsej,3
2020/2021,Ferizaj,Fillor dhe i mesëm i ulët,Meshkuj,67
2020/2021,Ferizaj,Fillor dhe i mesëm i ulët,Femra,34
2020/2021,Ferizaj,Fillor dhe i mesëm i ulët,Gjithsej,101
2020/2021,Ferizaj,I mesëm i lartë,Meshkuj,14
2020/2021,Ferizaj,I mesëm i lartë,Femra,12
2020/2021,Ferizaj,I mesëm i lartë,Gjithsej,26
2020/2021,Fushë Kosovë,Parashkollor,Meshkuj,-
2020/2021,Fushë Kosovë,Parashkollor,Femra,3
2020/2021,Fushë Kosovë,Parashkollor,Gjithsej,3
2020/2021,Fushë Kosovë,Fillor dhe i mesëm i ulët,Meshkuj,14
2020/2021,Fushë Kosovë,Fillor dhe i mesëm i ulët,Femra,6
2020/2021,Fushë Kosovë,Fillor dhe i mesëm i ulët,Gjithsej,20
2020/2021,Fushë Kosovë,I mesëm i lartë,Meshkuj,3
2020/2021,Fushë Kosovë,I mesëm i lartë,Femra,1
2020/2021,Fushë Kosovë,I mesëm i lartë,Gjithsej,4
2020/2021,Gjakovë,Parashkollor,Meshkuj,-
2020/2021,Gjakovë,Parashkollor,Femra,4
2020/2021,Gjakovë,Parashkollor,Gjithsej,4
2020/2021,Gjakovë,Fillor dhe i mesëm i ulët,Meshkuj,51
2020/2021,Gjakovë,Fillor dhe i mesëm i ulët,Femra,14
2020/2021,Gjakovë,Fillor dhe i mesëm i ulët,Gjithsej,65
2020/2021,Gjakovë,I mesëm i lartë,Meshkuj,5
2020/2021,Gjakovë,I mesëm i lartë,Femra,6
2020/2021,Gjakovë,I mesëm i lartë,Gjithsej,11
2020/2021,Gjilan,Parashkollor,Meshkuj,-
2020/2021,Gjilan,Parashkollor,Femra,8
2020/2021,Gjilan,Parashkollor,Gjithsej,8
2020/2021,Gjilan,Fillor dhe i mesëm i ulët,Meshkuj,40
2020/2021,Gjilan,Fillor dhe i mesëm i ulët,Femra,12
2020/2021,Gjilan,Fillor dhe i mesëm i ulët,Gjithsej,52
2020/2021,Gjilan,I mesëm i lartë,Meshkuj,18
2020/2021,Gjilan,I mesëm i lartë,Femra,3
2020/2021,Gjilan,I mesëm i lartë,Gjithsej,21
2020/2021,Gllogovc,Parashkollor,Meshkuj,1
2020/2021,Gllogovc,Parashkollor,Femra,2
2020/2021,Gllogovc,Parashkollor,Gjithsej,3
2020/2021,Gllogovc,Fillor dhe i mesëm i ulët,Meshkuj,30
2020/2021,Gllogovc,Fillor dhe i mesëm i ulët,Femra,11
2020/2021,Gllogovc,Fillor dhe i mesëm i ulët,Gjithsej,41
2020/2021,Gllogovc,I mesëm i lartë,Meshkuj,7
2020/2021,Gllogovc,I mesëm i lartë,Femra,2
2020/2021,Gllogovc,I mesëm i lartë,Gjithsej,9
2020/2021,Hani i Elezit,Parashkollor,Meshkuj,-
2020/2021,Hani i Elezit,Parashkollor,Femra,-
2020/2021,Hani i Elezit,Parashkollor,Gjithsej,-
2020/2021,Hani i Elezit,Fillor dhe i mesëm i ulët,Meshkuj,5
2020/2021,Hani i Elezit,Fillor dhe i mesëm i ulët,Femra,-
2020/2021,Hani i Elezit,Fillor dhe i mesëm i ulët,Gjithsej,5
2020/2021,Hani i Elezit,I mesëm i lartë,Meshkuj,1
2020/2021,Hani i Elezit,I mesëm i lartë,Femra,-
2020/2021,Hani i Elezit,I mesëm i lartë,Gjithsej,1
2020/2021,Istog,Parashkollor,Meshkuj,-
2020/2021,Istog,Parashkollor,Femra,4
2020/2021,Istog,Parashkollor,Gjithsej,4
2020/2021,Istog,Fillor dhe i mesëm i ulët,Meshkuj,13
2020/2021,Istog,Fillor dhe i mesëm i ulët,Femra,7
2020/2021,Istog,Fillor dhe i mesëm i ulët,Gjithsej,20
2020/2021,Istog,I mesëm i lartë,Meshkuj,3
2020/2021,Istog,I mesëm i lartë,Femra,3
2020/2021,Istog,I mesëm i lartë,Gjithsej,6
2020/2021,Junik,Parashkollor,Meshkuj,-
2020/2021,Junik,Parashkollor,Femra,-
2020/2021,Junik,Parashkollor,Gjithsej,-
2020/2021,Junik,Fillor dhe i mesëm i ulët,Meshkuj,2
2020/2021,Junik,Fillor dhe i mesëm i ulët,Femra,-
2020/2021,Junik,Fillor dhe i mesëm i ulët,Gjithsej,2
2020/2021,Junik,I mesëm i lartë,Meshkuj,1
2020/2021,Junik,I mesëm i lartë,Femra,-
2020/2021,Junik,I mesëm i lartë,Gjithsej,1
2020/2021,Kaçanik,Parashkollor,Meshkuj,-
2020/2021,Kaçanik,Parashkollor,Femra,-
2020/2021,Kaçanik,Parashkollor,Gjithsej,-
2020/2021,Kaçanik,Fillor dhe i mesëm i ulët,Meshkuj,22
2020/2021,Kaçanik,Fillor dhe i mesëm i ulët,Femra,4
2020/2021,Kaçanik,Fillor dhe i mesëm i ulët,Gjithsej,26
2020/2021,Kaçanik,I mesëm i lartë,Meshkuj,6
2020/2021,Kaçanik,I mesëm i lartë,Femra,-
2020/2021,Kaçanik,I mesëm i lartë,Gjithsej,6
2020/2021,Kamenicë,Parashkollor,Meshkuj,-
2020/2021,Kamenicë,Parashkollor,Femra,3
2020/2021,Kamenicë,Parashkollor,Gjithsej,3
2020/2021,Kamenicë,Fillor dhe i mesëm i ulët,Meshkuj,19
2020/2021,Kamenicë,Fillor dhe i mesëm i ulët,Femra,13
2020/2021,Kamenicë,Fillor dhe i mesëm i ulët,Gjithsej,32
2020/2021,Kamenicë,I mesëm i lartë,Meshkuj,3
2020/2021,Kamenicë,I mesëm i lartë,Femra,1
2020/2021,Kamenicë,I mesëm i lartë,Gjithsej,4
2020/2021,Klinë,Parashkollor,Meshkuj,-
2020/2021,Klinë,Parashkollor,Femra,1
2020/2021,Klinë,Parashkollor,Gjithsej,1
2020/2021,Klinë,Fillor dhe i mesëm i ulët,Meshkuj,26
2020/2021,Klinë,Fillor dhe i mesëm i ulët,Femra,6
2020/2021,Klinë,Fillor dhe i mesëm i ulët,Gjithsej,32
2020/2021,Klinë,I mesëm i lartë,Meshkuj,2
2020/2021,Klinë,I mesëm i lartë,Femra,1
2020/2021,Klinë,I mesëm i lartë,Gjithsej,3
2020/2021,Leposaviq,Parashkollor,Meshkuj,-
2020/2021,Leposaviq,Parashkollor,Femra,-
2020/2021,Leposaviq,Parashkollor,Gjithsej,-
2020/2021,Leposaviq,Fillor dhe i mesëm i ulët,Meshkuj,-
2020/2021,Leposaviq,Fillor dhe i mesëm i ulët,Femra,1
2020/2021,Leposaviq,Fillor dhe i mesëm i ulët,Gjithsej,1
2020/2021,Leposaviq,I mesëm i lartë,Meshkuj,-
2020/2021,Leposaviq,I mesëm i lartë,Femra,-
2020/2021,Leposaviq,I mesëm i lartë,Gjithsej,-
2020/2021,Lipjan,Parashkollor,Meshkuj,1
2020/2021,Lipjan,Parashkollor,Femra,1
2020/2021,Lipjan,Parashkollor,Gjithsej,2
2020/2021,Lipjan,Fillor dhe i mesëm i ulët,Meshkuj,33
2020/2021,Lipjan,Fillor dhe i mesëm i ulët,Femra,9
2020/2021,Lipjan,Fillor dhe i mesëm i ulët,Gjithsej,42
2020/2021,Lipjan,I mesëm i lartë,Meshkuj,7
2020/2021,Lipjan,I mesëm i lartë,Femra,3
2020/2021,Lipjan,I mesëm i lartë,Gjithsej,10
2020/2021,Malishevë,Parashkollor,Meshkuj,-
2020/2021,Malishevë,Parashkollor,Femra,-
2020/2021,Malishevë,Parashkollor,Gjithsej,-
2020/2021,Malishevë,Fillor dhe i mesëm i ulët,Meshkuj,33
2020/2021,Malishevë,Fillor dhe i mesëm i ulët,Femra,10
2020/2021,Malishevë,Fillor dhe i mesëm i ulët,Gjithsej,43
2020/2021,Malishevë,I mesëm i lartë,Meshkuj,11
2020/2021,Malishevë,I mesëm i lartë,Femra,3
2020/2021,Malishevë,I mesëm i lartë,Gjithsej,14
2020/2021,Mamushë,Parashkollor,Meshkuj,-
2020/2021,Mamushë,Parashkollor,Femra,-
2020/2021,Mamushë,Parashkollor,Gjithsej,-
2020/2021,Mamushë,Fillor dhe i mesëm i ulët,Meshkuj,3
2020/2021,Mamushë,Fillor dhe i mesëm i ulët,Femra,-
2020/2021,Mamushë,Fillor dhe i mesëm i ulët,Gjithsej,3
2020/2021,Mamushë,I mesëm i lartë,Meshkuj,1
2020/2021,Mamushë,I mesëm i lartë,Femra,-
2020/2021,Mamushë,I mesëm i lartë,Gjithsej,1
2020/2021,Mitrovicë,Parashkollor,Meshkuj,2
2020/2021,Mitrovicë,Parashkollor,Femra,7
2020/2021,Mitrovicë,Parashkollor,Gjithsej,9
2020/2021,Mitrovicë,Fillor dhe i mesëm i ulët,Meshkuj,60
2020/2021,Mitrovicë,Fillor dhe i mesëm i ulët,Femra,23
2020/2021,Mitrovicë,Fillor dhe i mesëm i ulët,Gjithsej,83
2020/2021,Mitrovicë,I mesëm i lartë,Meshkuj,10
2020/2021,Mitrovicë,I mesëm i lartë,Femra,8
2020/2021,Mitrovicë,I mesëm i lartë,Gjithsej,18
2020/2021,Novobërdë,Parashkollor,Meshkuj,-
2020/2021,Novobërdë,Parashkollor,Femra,-
2020/2021,Novobërdë,Parashkollor,Gjithsej,-
2020/2021,Novobërdë,Fillor dhe i mesëm i ulët,Meshkuj,4
2020/2021,Novobërdë,Fillor dhe i mesëm i ulët,Femra,2
2020/2021,Novobërdë,Fillor dhe i mesëm i ulët,Gjithsej,6
2020/2021,Novobërdë,I mesëm i lartë,Meshkuj,1
2020/2021,Novobërdë,I mesëm i lartë,Femra,-
2020/2021,Novobërdë,I mesëm i lartë,Gjithsej,1
2020/2021,Obiliq,Parashkollor,Meshkuj,-
2020/2021,Obiliq,Parashkollor,Femra,2
2020/2021,Obiliq,Parashkollor,Gjithsej,2
2020/2021,Obiliq,Fillor dhe i mesëm i ulët,Meshkuj,18
2020/2021,Obiliq,Fillor dhe i mesëm i ulët,Femra,8
2020/2021,Obiliq,Fillor dhe i mesëm i ulët,Gjithsej,26
2020/2021,Obiliq,I mesëm i lartë,Meshkuj,3
2020/2021,Obiliq,I mesëm i lartë,Femra,-
2020/2021,Obiliq,I mesëm i lartë,Gjithsej,3
2020/2021,Pejë,Parashkollor,Meshkuj,-
2020/2021,Pejë,Parashkollor,Femra,2
2020/2021,Pejë,Parashkollor,Gjithsej,2
2020/2021,Pejë,Fillor dhe i mesëm i ulët,Meshkuj,41
2020/2021,Pejë,Fillor dhe i mesëm i ulët,Femra,31
