viti,komuna,personeli ndihmës,gjinia,Personeli ndihmës sipas niveleve
2015/2016,Shtime,Fillor dhe i mesëm i ulët,Femra,1
2015/2016,Shtime,Fillor dhe i mesëm i ulët,Gjithsej,35
2015/2016,Shtime,I mesëm i lartë,Meshkuj,8
2015/2016,Shtime,I mesëm i lartë,Femra,-
2015/2016,Shtime,I mesëm i lartë,Gjithsej,8
2015/2016,Skënderaj,Parashkollor,Meshkuj,2
2015/2016,Skënderaj,Parashkollor,Femra,1
2015/2016,Skënderaj,Parashkollor,Gjithsej,3
2015/2016,Skënderaj,Fillor dhe i mesëm i ulët,Meshkuj,102
2015/2016,Skënderaj,Fillor dhe i mesëm i ulët,Femra,3
2015/2016,Skënderaj,Fillor dhe i mesëm i ulët,Gjithsej,105
2015/2016,Skënderaj,I mesëm i lartë,Meshkuj,22
2015/2016,Skënderaj,I mesëm i lartë,Femra,2
2015/2016,Skënderaj,I mesëm i lartë,Gjithsej,24
2015/2016,Suharekë,Parashkollor,Meshkuj,1
2015/2016,Suharekë,Parashkollor,Femra,2
2015/2016,Suharekë,Parashkollor,Gjithsej,3
2015/2016,Suharekë,Fillor dhe i mesëm i ulët,Meshkuj,93
2015/2016,Suharekë,Fillor dhe i mesëm i ulët,Femra,1
2015/2016,Suharekë,Fillor dhe i mesëm i ulët,Gjithsej,94
2015/2016,Suharekë,I mesëm i lartë,Meshkuj,20
2015/2016,Suharekë,I mesëm i lartë,Femra,3
2015/2016,Suharekë,I mesëm i lartë,Gjithsej,23
2015/2016,Viti,Parashkollor,Meshkuj,1
2015/2016,Viti,Parashkollor,Femra,4
2015/2016,Viti,Parashkollor,Gjithsej,5
2015/2016,Viti,Fillor dhe i mesëm i ulët,Meshkuj,44
2015/2016,Viti,Fillor dhe i mesëm i ulët,Femra,6
2015/2016,Viti,Fillor dhe i mesëm i ulët,Gjithsej,50
2015/2016,Viti,I mesëm i lartë,Meshkuj,9
2015/2016,Viti,I mesëm i lartë,Femra,2
2015/2016,Viti,I mesëm i lartë,Gjithsej,11
2015/2016,Vushtrri,Parashkollor,Meshkuj,-
2015/2016,Vushtrri,Parashkollor,Femra,7
2015/2016,Vushtrri,Parashkollor,Gjithsej,7
2015/2016,Vushtrri,Fillor dhe i mesëm i ulët,Meshkuj,83
2015/2016,Vushtrri,Fillor dhe i mesëm i ulët,Femra,5
2015/2016,Vushtrri,Fillor dhe i mesëm i ulët,Gjithsej,88
2015/2016,Vushtrri,I mesëm i lartë,Meshkuj,10
2015/2016,Vushtrri,I mesëm i lartë,Femra,-
2015/2016,Vushtrri,I mesëm i lartë,Gjithsej,10
2015/2016,Zubin Potok,Parashkollor,Meshkuj,-
2015/2016,Zubin Potok,Parashkollor,Femra,-
2015/2016,Zubin Potok,Parashkollor,Gjithsej,-
2015/2016,Zubin Potok,Fillor dhe i mesëm i ulët,Meshkuj,5
2015/2016,Zubin Potok,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Zubin Potok,Fillor dhe i mesëm i ulët,Gjithsej,5
2015/2016,Zubin Potok,I mesëm i lartë,Meshkuj,-
2015/2016,Zubin Potok,I mesëm i lartë,Femra,-
2015/2016,Zubin Potok,I mesëm i lartë,Gjithsej,-
2015/2016,Zveçan,Parashkollor,Meshkuj,-
2015/2016,Zveçan,Parashkollor,Femra,-
2015/2016,Zveçan,Parashkollor,Gjithsej,-
2015/2016,Zveçan,Fillor dhe i mesëm i ulët,Meshkuj,4
2015/2016,Zveçan,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Zveçan,Fillor dhe i mesëm i ulët,Gjithsej,4
2015/2016,Zveçan,I mesëm i lartë,Meshkuj,-
2015/2016,Zveçan,I mesëm i lartë,Femra,-
2015/2016,Zveçan,I mesëm i lartë,Gjithsej,-
2015/2016,Kllokot,Parashkollor,Meshkuj,-
2015/2016,Kllokot,Parashkollor,Femra,-
2015/2016,Kllokot,Parashkollor,Gjithsej,-
2015/2016,Kllokot,Fillor dhe i mesëm i ulët,Meshkuj,-
2015/2016,Kllokot,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Kllokot,Fillor dhe i mesëm i ulët,Gjithsej,-
2015/2016,Kllokot,I mesëm i lartë,Meshkuj,-
2015/2016,Kllokot,I mesëm i lartë,Femra,-
2015/2016,Kllokot,I mesëm i lartë,Gjithsej,-
2015/2016,Gjithsej,Parashkollor,Meshkuj,68
2015/2016,Gjithsej,Parashkollor,Femra,112
2015/2016,Gjithsej,Parashkollor,Gjithsej,180
2015/2016,Gjithsej,Fillor dhe i mesëm i ulët,Meshkuj,2130
2015/2016,Gjithsej,Fillor dhe i mesëm i ulët,Femra,254
2015/2016,Gjithsej,Fillor dhe i mesëm i ulët,Gjithsej,2384
2015/2016,Gjithsej,I mesëm i lartë,Meshkuj,455
2015/2016,Gjithsej,I mesëm i lartë,Femra,64
2015/2016,Gjithsej,I mesëm i lartë,Gjithsej,519
2016/2017,Deçan,Parashkollor,Meshkuj,-
2016/2017,Deçan,Parashkollor,Femra,-
2016/2017,Deçan,Parashkollor,Gjithsej,-
2016/2017,Deçan,Fillor dhe i mesëm i ulët,Meshkuj,61
2016/2017,Deçan,Fillor dhe i mesëm i ulët,Femra,3
2016/2017,Deçan,Fillor dhe i mesëm i ulët,Gjithsej,64
2016/2017,Deçan,I mesëm i lartë,Meshkuj,9
2016/2017,Deçan,I mesëm i lartë,Femra,-
2016/2017,Deçan,I mesëm i lartë,Gjithsej,9
2016/2017,Dragash,Parashkollor,Meshkuj,-
2016/2017,Dragash,Parashkollor,Femra,-
2016/2017,Dragash,Parashkollor,Gjithsej,-
2016/2017,Dragash,Fillor dhe i mesëm i ulët,Meshkuj,53
2016/2017,Dragash,Fillor dhe i mesëm i ulët,Femra,2
2016/2017,Dragash,Fillor dhe i mesëm i ulët,Gjithsej,55
2016/2017,Dragash,I mesëm i lartë,Meshkuj,6
2016/2017,Dragash,I mesëm i lartë,Femra,-
2016/2017,Dragash,I mesëm i lartë,Gjithsej,6
2016/2017,Ferizaj,Parashkollor,Meshkuj,-
2016/2017,Ferizaj,Parashkollor,Femra,-
2016/2017,Ferizaj,Parashkollor,Gjithsej,-
2016/2017,Ferizaj,Fillor dhe i mesëm i ulët,Meshkuj,91
2016/2017,Ferizaj,Fillor dhe i mesëm i ulët,Femra,7
2016/2017,Ferizaj,Fillor dhe i mesëm i ulët,Gjithsej,98
2016/2017,Ferizaj,I mesëm i lartë,Meshkuj,35
2016/2017,Ferizaj,I mesëm i lartë,Femra,3
2016/2017,Ferizaj,I mesëm i lartë,Gjithsej,38
2016/2017,Fushë Kosovë,Parashkollor,Meshkuj,1
2016/2017,Fushë Kosovë,Parashkollor,Femra,4
2016/2017,Fushë Kosovë,Parashkollor,Gjithsej,5
2016/2017,Fushë Kosovë,Fillor dhe i mesëm i ulët,Meshkuj,36
2016/2017,Fushë Kosovë,Fillor dhe i mesëm i ulët,Femra,8
2016/2017,Fushë Kosovë,Fillor dhe i mesëm i ulët,Gjithsej,44
2016/2017,Fushë Kosovë,I mesëm i lartë,Meshkuj,3
2016/2017,Fushë Kosovë,I mesëm i lartë,Femra,2
2016/2017,Fushë Kosovë,I mesëm i lartë,Gjithsej,5
2016/2017,Gjakovë,Parashkollor,Meshkuj,9
2016/2017,Gjakovë,Parashkollor,Femra,16
2016/2017,Gjakovë,Parashkollor,Gjithsej,25
2016/2017,Gjakovë,Fillor dhe i mesëm i ulët,Meshkuj,108
2016/2017,Gjakovë,Fillor dhe i mesëm i ulët,Femra,46
2016/2017,Gjakovë,Fillor dhe i mesëm i ulët,Gjithsej,154
2016/2017,Gjakovë,I mesëm i lartë,Meshkuj,25
2016/2017,Gjakovë,I mesëm i lartë,Femra,8
2016/2017,Gjakovë,I mesëm i lartë,Gjithsej,33
2016/2017,Gjilan,Parashkollor,Meshkuj,7
2016/2017,Gjilan,Parashkollor,Femra,16
2016/2017,Gjilan,Parashkollor,Gjithsej,23
2016/2017,Gjilan,Fillor dhe i mesëm i ulët,Meshkuj,141
2016/2017,Gjilan,Fillor dhe i mesëm i ulët,Femra,19
2016/2017,Gjilan,Fillor dhe i mesëm i ulët,Gjithsej,160
2016/2017,Gjilan,I mesëm i lartë,Meshkuj,11
2016/2017,Gjilan,I mesëm i lartë,Femra,3
2016/2017,Gjilan,I mesëm i lartë,Gjithsej,14
2016/2017,Gllogovc,Parashkollor,Meshkuj,1
2016/2017,Gllogovc,Parashkollor,Femra,4
2016/2017,Gllogovc,Parashkollor,Gjithsej,5
2016/2017,Gllogovc,Fillor dhe i mesëm i ulët,Meshkuj,105
2016/2017,Gllogovc,Fillor dhe i mesëm i ulët,Femra,1
2016/2017,Gllogovc,Fillor dhe i mesëm i ulët,Gjithsej,106
2016/2017,Gllogovc,I mesëm i lartë,Meshkuj,7
2016/2017,Gllogovc,I mesëm i lartë,Femra,-
2016/2017,Gllogovc,I mesëm i lartë,Gjithsej,7
2016/2017,Hani i Elezit,Parashkollor,Meshkuj,-
2016/2017,Hani i Elezit,Parashkollor,Femra,-
2016/2017,Hani i Elezit,Parashkollor,Gjithsej,-
2016/2017,Hani i Elezit,Fillor dhe i mesëm i ulët,Meshkuj,11
