Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Suhareke,2018-2019,fillor-mesem te ulet,6-15,Mashkull,4145
Suhareke,2018-2019,fillor-mesem te ulet,6-15,Femer,3842
Viti,2018-2019,fillor-mesem te ulet,6-15,Mashkull,3047
Viti,2018-2019,fillor-mesem te ulet,6-15,Femer,2971
Vushtrri,2018-2019,fillor-mesem te ulet,6-15,Mashkull,5141
Vushtrri,2018-2019,fillor-mesem te ulet,6-15,Femer,4773
Zubin Potok,2018-2019,fillor-mesem te ulet,6-15,Mashkull,49
Zubin Potok,2018-2019,fillor-mesem te ulet,6-15,Femer,45
Zveqan,2018-2019,fillor-mesem te ulet,6-15,Mashkull,30
Zveqan,2018-2019,fillor-mesem te ulet,6-15,Femer,34
Kllokot,2018-2019,fillor-mesem te ulet,6-15,Mashkull,57
Kllokot,2018-2019,fillor-mesem te ulet,6-15,Femer,59
Deqan,2019-2020,fillor-mesem te ulet,6-15,Mashkull,1971
Deqan,2019-2020,fillor-mesem te ulet,6-15,Femer,1905
Dargash,2019-2020,fillor-mesem te ulet,6-15,Mashkull,1564
Dargash,2019-2020,fillor-mesem te ulet,6-15,Femer,1451
Ferizaj,2019-2020,fillor-mesem te ulet,6-15,Mashkull,8006
Ferizaj,2019-2020,fillor-mesem te ulet,6-15,Femer,7816
Fushe Kosove,2019-2020,fillor-mesem te ulet,6-15,Mashkull,3624
Fushe Kosove,2019-2020,fillor-mesem te ulet,6-15,Femer,3346
Gjakove,2019-2020,fillor-mesem te ulet,6-15,Mashkull,6019
Gjakove,2019-2020,fillor-mesem te ulet,6-15,Femer,5366
Gjilan,2019-2020,fillor-mesem te ulet,6-15,Mashkull,5553
Gjilan,2019-2020,fillor-mesem te ulet,6-15,Femer,5326
Gllogovc,2019-2020,fillor-mesem te ulet,6-15,Mashkull,4341
Gllogovc,2019-2020,fillor-mesem te ulet,6-15,Femer,4036
Hani i Elezit,2019-2020,fillor-mesem te ulet,6-15,Mashkull,711
Hani i Elezit,2019-2020,fillor-mesem te ulet,6-15,Femer,648
Istog,2019-2020,fillor-mesem te ulet,6-15,Mashkull,2585
Istog,2019-2020,fillor-mesem te ulet,6-15,Femer,2419
Junik,2019-2020,fillor-mesem te ulet,6-15,Mashkull,270
Junik,2019-2020,fillor-mesem te ulet,6-15,Femer,242
Kaqanik,2019-2020,fillor-mesem te ulet,6-15,Mashkull,2283
Kaqanik,2019-2020,fillor-mesem te ulet,6-15,Femer,2134
Kamenice,2019-2020,fillor-mesem te ulet,6-15,Mashkull,1490
Kamenice,2019-2020,fillor-mesem te ulet,6-15,Femer,1447
Kline,2019-2020,fillor-mesem te ulet,6-15,Mashkull,2771
Kline,2019-2020,fillor-mesem te ulet,6-15,Femer,2730
Leposaviq,2019-2020,fillor-mesem te ulet,6-15,Mashkull,11
Leposaviq,2019-2020,fillor-mesem te ulet,6-15,Femer,7
Lipjan,2019-2020,fillor-mesem te ulet,6-15,Mashkull,4504
Lipjan,2019-2020,fillor-mesem te ulet,6-15,Femer,4189
Malisheve,2019-2020,fillor-mesem te ulet,6-15,Mashkull,4494
Malisheve,2019-2020,fillor-mesem te ulet,6-15,Femer,4163
Mamushe,2019-2020,fillor-mesem te ulet,6-15,Mashkull,343
Mamushe,2019-2020,fillor-mesem te ulet,6-15,Femer,313
Mitrovice,2019-2020,fillor-mesem te ulet,6-15,Mashkull,5352
Mitrovice,2019-2020,fillor-mesem te ulet,6-15,Femer,5261
Novoberde,2019-2020,fillor-mesem te ulet,6-15,Mashkull,237
Novoberde,2019-2020,fillor-mesem te ulet,6-15,Femer,232
Obiliq,2019-2020,fillor-mesem te ulet,6-15,Mashkull,1567
Obiliq,2019-2020,fillor-mesem te ulet,6-15,Femer,1514
Peje,2019-2020,fillor-mesem te ulet,6-15,Mashkull,6371
Peje,2019-2020,fillor-mesem te ulet,6-15,Femer,5986
Podujeve,2019-2020,fillor-mesem te ulet,6-15,Mashkull,6365
Podujeve,2019-2020,fillor-mesem te ulet,6-15,Femer,5924
Prishtine,2019-2020,fillor-mesem te ulet,6-15,Mashkull,15300
Prishtine,2019-2020,fillor-mesem te ulet,6-15,Femer,14540
Prizren,2019-2020,fillor-mesem te ulet,6-15,Mashkull,10862
Prizren,2019-2020,fillor-mesem te ulet,6-15,Femer,10182
Rahovec,2019-2020,fillor-mesem te ulet,6-15,Mashkull,3575
Rahovec,2019-2020,fillor-mesem te ulet,6-15,Femer,3406
Shterpce,2019-2020,fillor-mesem te ulet,6-15,Mashkull,201
Shterpce,2019-2020,fillor-mesem te ulet,6-15,Femer,213
Shtime,2019-2020,fillor-mesem te ulet,6-15,Mashkull,2021
Shtime,2019-2020,fillor-mesem te ulet,6-15,Femer,1913
Skenderaj,2019-2020,fillor-mesem te ulet,6-15,Mashkull,3531
Skenderaj,2019-2020,fillor-mesem te ulet,6-15,Femer,3278
Suhareke,2019-2020,fillor-mesem te ulet,6-15,Mashkull,4025
Suhareke,2019-2020,fillor-mesem te ulet,6-15,Femer,3618
Viti,2019-2020,fillor-mesem te ulet,6-15,Mashkull,2888
Viti,2019-2020,fillor-mesem te ulet,6-15,Femer,2835
Vushtrri,2019-2020,fillor-mesem te ulet,6-15,Mashkull,5105
Vushtrri,2019-2020,fillor-mesem te ulet,6-15,Femer,4687
Zubin Potok,2019-2020,fillor-mesem te ulet,6-15,Mashkull,51
Zubin Potok,2019-2020,fillor-mesem te ulet,6-15,Femer,42
Zveqan,2019-2020,fillor-mesem te ulet,6-15,Mashkull,32
Zveqan,2019-2020,fillor-mesem te ulet,6-15,Femer,31
Kllokot,2019-2020,fillor-mesem te ulet,6-15,Mashkull,62
Kllokot,2019-2020,fillor-mesem te ulet,6-15,Femer,53
Deqan,2020-2021,fillor-mesem te ulet,6-15,Mashkull,1984
Deqan,2020-2021,fillor-mesem te ulet,6-15,Femer,1813
Dargash,2020-2021,fillor-mesem te ulet,6-15,Mashkull,1329
Dargash,2020-2021,fillor-mesem te ulet,6-15,Femer,1239
Ferizaj,2020-2021,fillor-mesem te ulet,6-15,Mashkull,7869
Ferizaj,2020-2021,fillor-mesem te ulet,6-15,Femer,7542
Fushe Kosove,2020-2021,fillor-mesem te ulet,6-15,Mashkull,3806
Fushe Kosove,2020-2021,fillor-mesem te ulet,6-15,Femer,3549
Gjakove,2020-2021,fillor-mesem te ulet,6-15,Mashkull,5826
Gjakove,2020-2021,fillor-mesem te ulet,6-15,Femer,5196
Gjilan,2020-2021,fillor-mesem te ulet,6-15,Mashkull,5440
Gjilan,2020-2021,fillor-mesem te ulet,6-15,Femer,5188
Gllogovc,2020-2021,fillor-mesem te ulet,6-15,Mashkull,4265
Gllogovc,2020-2021,fillor-mesem te ulet,6-15,Femer,3967
Hani i Elezit,2020-2021,fillor-mesem te ulet,6-15,Mashkull,723
Hani i Elezit,2020-2021,fillor-mesem te ulet,6-15,Femer,644
Istog,2020-2021,fillor-mesem te ulet,6-15,Mashkull,2491
Istog,2020-2021,fillor-mesem te ulet,6-15,Femer,2326
Junik,2020-2021,fillor-mesem te ulet,6-15,Mashkull,273
Junik,2020-2021,fillor-mesem te ulet,6-15,Femer,232
Kaqanik,2020-2021,fillor-mesem te ulet,6-15,Mashkull,2255
Kaqanik,2020-2021,fillor-mesem te ulet,6-15,Femer,2111
Kamenice,2020-2021,fillor-mesem te ulet,6-15,Mashkull,1354
Kamenice,2020-2021,fillor-mesem te ulet,6-15,Femer,1333
Kline,2020-2021,fillor-mesem te ulet,6-15,Mashkull,2705
Kline,2020-2021,fillor-mesem te ulet,6-15,Femer,2621
Leposaviq,2020-2021,fillor-mesem te ulet,6-15,Mashkull,11
Leposaviq,2020-2021,fillor-mesem te ulet,6-15,Femer,5
Lipjan,2020-2021,fillor-mesem te ulet,6-15,Mashkull,4427
Lipjan,2020-2021,fillor-mesem te ulet,6-15,Femer,4111
Malisheve,2020-2021,fillor-mesem te ulet,6-15,Mashkull,4263
Malisheve,2020-2021,fillor-mesem te ulet,6-15,Femer,4014
Mamushe,2020-2021,fillor-mesem te ulet,6-15,Mashkull,332
Mamushe,2020-2021,fillor-mesem te ulet,6-15,Femer,332
Mitrovice,2020-2021,fillor-mesem te ulet,6-15,Mashkull,5258
Mitrovice,2020-2021,fillor-mesem te ulet,6-15,Femer,5101
Novoberde,2020-2021,fillor-mesem te ulet,6-15,Mashkull,240
Novoberde,2020-2021,fillor-mesem te ulet,6-15,Femer,224
Obiliq,2020-2021,fillor-mesem te ulet,6-15,Mashkull,1546
Obiliq,2020-2021,fillor-mesem te ulet,6-15,Femer,1440
Peje,2020-2021,fillor-mesem te ulet,6-15,Mashkull,6230
Peje,2020-2021,fillor-mesem te ulet,6-15,Femer,5895
Podujeve,2020-2021,fillor-mesem te ulet,6-15,Mashkull,6106
Podujeve,2020-2021,fillor-mesem te ulet,6-15,Femer,5807
Prishtine,2020-2021,fillor-mesem te ulet,6-15,Mashkull,15208
Prishtine,2020-2021,fillor-mesem te ulet,6-15,Femer,14563
Prizren,2020-2021,fillor-mesem te ulet,6-15,Mashkull,10716
Prizren,2020-2021,fillor-mesem te ulet,6-15,Femer,9970
Rahovec,2020-2021,fillor-mesem te ulet,6-15,Mashkull,3425
Rahovec,2020-2021,fillor-mesem te ulet,6-15,Femer,3268
Shterpce,2020-2021,fillor-mesem te ulet,6-15,Mashkull,180
Shterpce,2020-2021,fillor-mesem te ulet,6-15,Femer,199
Shtime,2020-2021,fillor-mesem te ulet,6-15,Mashkull,1960
Shtime,2020-2021,fillor-mesem te ulet,6-15,Femer,1808
Skenderaj,2020-2021,fillor-mesem te ulet,6-15,Mashkull,3430
Skenderaj,2020-2021,fillor-mesem te ulet,6-15,Femer,3096
Suhareke,2020-2021,fillor-mesem te ulet,6-15,Mashkull,3862
Suhareke,2020-2021,fillor-mesem te ulet,6-15,Femer,3504
Viti,2020-2021,fillor-mesem te ulet,6-15,Mashkull,2762
Viti,2020-2021,fillor-mesem te ulet,6-15,Femer,2726
Vushtrri,2020-2021,fillor-mesem te ulet,6-15,Mashkull,4959
Vushtrri,2020-2021,fillor-mesem te ulet,6-15,Femer,4587
Zubin Potok,2020-2021,fillor-mesem te ulet,6-15,Mashkull,54
Zubin Potok,2020-2021,fillor-mesem te ulet,6-15,Femer,38
Zveqan,2020-2021,fillor-mesem te ulet,6-15,Mashkull,35
Zveqan,2020-2021,fillor-mesem te ulet,6-15,Femer,31
Kllokot,2020-2021,fillor-mesem te ulet,6-15,Mashkull,53
Kllokot,2020-2021,fillor-mesem te ulet,6-15,Femer,51
Deqan,2021-2022,fillor-mesem te ulet,6-15,Mashkull,1951
Deqan,2021-2022,fillor-mesem te ulet,6-15,Femer,1755
Dargash,2021-2022,fillor-mesem te ulet,6-15,Mashkull,1406
Dargash,2021-2022,fillor-mesem te ulet,6-15,Femer,1310
Ferizaj,2021-2022,fillor-mesem te ulet,6-15,Mashkull,7693
Ferizaj,2021-2022,fillor-mesem te ulet,6-15,Femer,7278
Fushe Kosove,2021-2022,fillor-mesem te ulet,6-15,Mashkull,4061
Fushe Kosove,2021-2022,fillor-mesem te ulet,6-15,Femer,3786
Gjakove,2021-2022,fillor-mesem te ulet,6-15,Mashkull,5630
Gjakove,2021-2022,fillor-mesem te ulet,6-15,Femer,5144
Gjilan,2021-2022,fillor-mesem te ulet,6-15,Mashkull,5336
Gjilan,2021-2022,fillor-mesem te ulet,6-15,Femer,5017
Gllogovc,2021-2022,fillor-mesem te ulet,6-15,Mashkull,4146
Gllogovc,2021-2022,fillor-mesem te ulet,6-15,Femer,3820
Hani i Elezit,2021-2022,fillor-mesem te ulet,6-15,Mashkull,704
Hani i Elezit,2021-2022,fillor-mesem te ulet,6-15,Femer,620
Istog,2021-2022,fillor-mesem te ulet,6-15,Mashkull,2379
Istog,2021-2022,fillor-mesem te ulet,6-15,Femer,2265
Junik,2021-2022,fillor-mesem te ulet,6-15,Mashkull,271
Junik,2021-2022,fillor-mesem te ulet,6-15,Femer,201
Kaqanik,2021-2022,fillor-mesem te ulet,6-15,Mashkull,2211
Kaqanik,2021-2022,fillor-mesem te ulet,6-15,Femer,1973
Kamenice,2021-2022,fillor-mesem te ulet,6-15,Mashkull,1274
Kamenice,2021-2022,fillor-mesem te ulet,6-15,Femer,1279
Kline,2021-2022,fillor-mesem te ulet,6-15,Mashkull,2577
Kline,2021-2022,fillor-mesem te ulet,6-15,Femer,2495
Leposaviq,2021-2022,fillor-mesem te ulet,6-15,Mashkull,13
Leposaviq,2021-2022,fillor-mesem te ulet,6-15,Femer,4
Lipjan,2021-2022,fillor-mesem te ulet,6-15,Mashkull,4403
Lipjan,2021-2022,fillor-mesem te ulet,6-15,Femer,3993
Malisheve,2021-2022,fillor-mesem te ulet,6-15,Mashkull,4044
Malisheve,2021-2022,fillor-mesem te ulet,6-15,Femer,3773
Mamushe,2021-2022,fillor-mesem te ulet,6-15,Mashkull,352
Mamushe,2021-2022,fillor-mesem te ulet,6-15,Femer,334
Mitrovice,2021-2022,fillor-mesem te ulet,6-15,Mashkull,5149
Mitrovice,2021-2022,fillor-mesem te ulet,6-15,Femer,4973
Novoberde,2021-2022,fillor-mesem te ulet,6-15,Mashkull,238
Novoberde,2021-2022,fillor-mesem te ulet,6-15,Femer,234
Obiliq,2021-2022,fillor-mesem te ulet,6-15,Mashkull,1507
Obiliq,2021-2022,fillor-mesem te ulet,6-15,Femer,1432
Peje,2021-2022,fillor-mesem te ulet,6-15,Mashkull,6051
Peje,2021-2022,fillor-mesem te ulet,6-15,Femer,5739
Podujeve,2021-2022,fillor-mesem te ulet,6-15,Mashkull,5825
Podujeve,2021-2022,fillor-mesem te ulet,6-15,Femer,5534
Prishtine,2021-2022,fillor-mesem te ulet,6-15,Mashkull,15053
Prishtine,2021-2022,fillor-mesem te ulet,6-15,Femer,14480
Prizren,2021-2022,fillor-mesem te ulet,6-15,Mashkull,10457
Prizren,2021-2022,fillor-mesem te ulet,6-15,Femer,9644
Rahovec,2021-2022,fillor-mesem te ulet,6-15,Mashkull,3274
Rahovec,2021-2022,fillor-mesem te ulet,6-15,Femer,2986
Shterpce,2021-2022,fillor-mesem te ulet,6-15,Mashkull,183
Shterpce,2021-2022,fillor-mesem te ulet,6-15,Femer,186
Shtime,2021-2022,fillor-mesem te ulet,6-15,Mashkull,1936
Shtime,2021-2022,fillor-mesem te ulet,6-15,Femer,1739
Skenderaj,2021-2022,fillor-mesem te ulet,6-15,Mashkull,3223
Skenderaj,2021-2022,fillor-mesem te ulet,6-15,Femer,2985
Suhareke,2021-2022,fillor-mesem te ulet,6-15,Mashkull,3709
Suhareke,2021-2022,fillor-mesem te ulet,6-15,Femer,3236
Viti,2021-2022,fillor-mesem te ulet,6-15,Mashkull,2673
Viti,2021-2022,fillor-mesem te ulet,6-15,Femer,2553
Vushtrri,2021-2022,fillor-mesem te ulet,6-15,Mashkull,4804
Vushtrri,2021-2022,fillor-mesem te ulet,6-15,Femer,4415
Zubin Potok,2021-2022,fillor-mesem te ulet,6-15,Mashkull,51
Zubin Potok,2021-2022,fillor-mesem te ulet,6-15,Femer,41
Zveqan,2021-2022,fillor-mesem te ulet,6-15,Mashkull,38
Zveqan,2021-2022,fillor-mesem te ulet,6-15,Femer,36
Kllokot,2021-2022,fillor-mesem te ulet,6-15,Mashkull,44
Kllokot,2021-2022,fillor-mesem te ulet,6-15,Femer,51
Deqan,2022-2023,fillor-mesem te ulet,6-15,Mashkull,1858
Deqan,2022-2023,fillor-mesem te ulet,6-15,Femer,1729
Dargash,2022-2023,fillor-mesem te ulet,6-15,Mashkull,1289
Dargash,2022-2023,fillor-mesem te ulet,6-15,Femer,1176
Ferizaj,2022-2023,fillor-mesem te ulet,6-15,Mashkull,7561
Ferizaj,2022-2023,fillor-mesem te ulet,6-15,Femer,7477
Fushe Kosove,2022-2023,fillor-mesem te ulet,6-15,Mashkull,4282
Fushe Kosove,2022-2023,fillor-mesem te ulet,6-15,Femer,4052
Gjakove,2022-2023,fillor-mesem te ulet,6-15,Mashkull,5427
Gjakove,2022-2023,fillor-mesem te ulet,6-15,Femer,5060
Gjilan,2022-2023,fillor-mesem te ulet,6-15,Mashkull,5144
Gjilan,2022-2023,fillor-mesem te ulet,6-15,Femer,5044
Gllogovc,2022-2023,fillor-mesem te ulet,6-15,Mashkull,4005
Gllogovc,2022-2023,fillor-mesem te ulet,6-15,Femer,3735
Hani i Elezit,2022-2023,fillor-mesem te ulet,6-15,Mashkull,673
Hani i Elezit,2022-2023,fillor-mesem te ulet,6-15,Femer,607
Istog,2022-2023,fillor-mesem te ulet,6-15,Mashkull,2294
Istog,2022-2023,fillor-mesem te ulet,6-15,Femer,2212
Junik,2022-2023,fillor-mesem te ulet,6-15,Mashkull,238
Junik,2022-2023,fillor-mesem te ulet,6-15,Femer,201
Kaqanik,2022-2023,fillor-mesem te ulet,6-15,Mashkull,2185
Kaqanik,2022-2023,fillor-mesem te ulet,6-15,Femer,1994
Kamenice,2022-2023,fillor-mesem te ulet,6-15,Mashkull,1259
Kamenice,2022-2023,fillor-mesem te ulet,6-15,Femer,1199
Kline,2022-2023,fillor-mesem te ulet,6-15,Mashkull,2448
Kline,2022-2023,fillor-mesem te ulet,6-15,Femer,2407
Leposaviq,2022-2023,fillor-mesem te ulet,6-15,Mashkull,12
Leposaviq,2022-2023,fillor-mesem te ulet,6-15,Femer,4
Lipjan,2022-2023,fillor-mesem te ulet,6-15,Mashkull,4319
Lipjan,2022-2023,fillor-mesem te ulet,6-15,Femer,3925
Malisheve,2022-2023,fillor-mesem te ulet,6-15,Mashkull,3891
Malisheve,2022-2023,fillor-mesem te ulet,6-15,Femer,3577
Mamushe,2022-2023,fillor-mesem te ulet,6-15,Mashkull,352
Mamushe,2022-2023,fillor-mesem te ulet,6-15,Femer,325
Mitrovice,2022-2023,fillor-mesem te ulet,6-15,Mashkull,5042
Mitrovice,2022-2023,fillor-mesem te ulet,6-15,Femer,4800
Novoberde,2022-2023,fillor-mesem te ulet,6-15,Mashkull,244
Novoberde,2022-2023,fillor-mesem te ulet,6-15,Femer,243
Obiliq,2022-2023,fillor-mesem te ulet,6-15,Mashkull,1471
Obiliq,2022-2023,fillor-mesem te ulet,6-15,Femer,1405
Peje,2022-2023,fillor-mesem te ulet,6-15,Mashkull,5861
Peje,2022-2023,fillor-mesem te ulet,6-15,Femer,5618
Podujeve,2022-2023,fillor-mesem te ulet,6-15,Mashkull,5471
Podujeve,2022-2023,fillor-mesem te ulet,6-15,Femer,5264
Prishtine,2022-2023,fillor-mesem te ulet,6-15,Mashkull,14919
Prishtine,2022-2023,fillor-mesem te ulet,6-15,Femer,14428
Prizren,2022-2023,fillor-mesem te ulet,6-15,Mashkull,10090
Prizren,2022-2023,fillor-mesem te ulet,6-15,Femer,9396
Rahovec,2022-2023,fillor-mesem te ulet,6-15,Mashkull,3069
Rahovec,2022-2023,fillor-mesem te ulet,6-15,Femer,2926
Shterpce,2022-2023,fillor-mesem te ulet,6-15,Mashkull,168
Shterpce,2022-2023,fillor-mesem te ulet,6-15,Femer,160
Shtime,2022-2023,fillor-mesem te ulet,6-15,Mashkull,1892
Shtime,2022-2023,fillor-mesem te ulet,6-15,Femer,1704
Skenderaj,2022-2023,fillor-mesem te ulet,6-15,Mashkull,3053
Skenderaj,2022-2023,fillor-mesem te ulet,6-15,Femer,2801
Suhareke,2022-2023,fillor-mesem te ulet,6-15,Mashkull,3470
Suhareke,2022-2023,fillor-mesem te ulet,6-15,Femer,3040
Viti,2022-2023,fillor-mesem te ulet,6-15,Mashkull,2600
Viti,2022-2023,fillor-mesem te ulet,6-15,Femer,2519
Vushtrri,2022-2023,fillor-mesem te ulet,6-15,Mashkull,4747
Vushtrri,2022-2023,fillor-mesem te ulet,6-15,Femer,4352
Zubin Potok,2022-2023,fillor-mesem te ulet,6-15,Mashkull,45
Zubin Potok,2022-2023,fillor-mesem te ulet,6-15,Femer,40
Zveqan,2022-2023,fillor-mesem te ulet,6-15,Mashkull,37
Zveqan,2022-2023,fillor-mesem te ulet,6-15,Femer,34
Kllokot,2022-2023,fillor-mesem te ulet,6-15,Mashkull,46
Kllokot,2022-2023,fillor-mesem te ulet,6-15,Femer,51
Deqan,2023-2024,fillor-mesem te ulet,6-15,Mashkull,1781
Deqan,2023-2024,fillor-mesem te ulet,6-15,Femer,1687
Dargash,2023-2024,fillor-mesem te ulet,6-15,Mashkull,1224
Dargash,2023-2024,fillor-mesem te ulet,6-15,Femer,1104
Ferizaj,2023-2024,fillor-mesem te ulet,6-15,Mashkull,7517
Ferizaj,2023-2024,fillor-mesem te ulet,6-15,Femer,7357
Fushe Kosove,2023-2024,fillor-mesem te ulet,6-15,Mashkull,4515
Fushe Kosove,2023-2024,fillor-mesem te ulet,6-15,Femer,4130
Gjakove,2023-2024,fillor-mesem te ulet,6-15,Mashkull,5162
Gjakove,2023-2024,fillor-mesem te ulet,6-15,Femer,4888
Gjilan,2023-2024,fillor-mesem te ulet,6-15,Mashkull,5122
Gjilan,2023-2024,fillor-mesem te ulet,6-15,Femer,4997
Gllogovc,2023-2024,fillor-mesem te ulet,6-15,Mashkull,3844
Gllogovc,2023-2024,fillor-mesem te ulet,6-15,Femer,3677
Hani i Elezit,2023-2024,fillor-mesem te ulet,6-15,Mashkull,637
Hani i Elezit,2023-2024,fillor-mesem te ulet,6-15,Femer,580
Istog,2023-2024,fillor-mesem te ulet,6-15,Mashkull,2171
Istog,2023-2024,fillor-mesem te ulet,6-15,Femer,2115
Junik,2023-2024,fillor-mesem te ulet,6-15,Mashkull,236
Junik,2023-2024,fillor-mesem te ulet,6-15,Femer,203
Kaqanik,2023-2024,fillor-mesem te ulet,6-15,Mashkull,2116
Kaqanik,2023-2024,fillor-mesem te ulet,6-15,Femer,1911
Kamenice,2023-2024,fillor-mesem te ulet,6-15,Mashkull,1149
Kamenice,2023-2024,fillor-mesem te ulet,6-15,Femer,1102
Kline,2023-2024,fillor-mesem te ulet,6-15,Mashkull,2394
Kline,2023-2024,fillor-mesem te ulet,6-15,Femer,2290
Leposaviq,2023-2024,fillor-mesem te ulet,6-15,Mashkull,13
Leposaviq,2023-2024,fillor-mesem te ulet,6-15,Femer,4
Lipjan,2023-2024,fillor-mesem te ulet,6-15,Mashkull,4256
Lipjan,2023-2024,fillor-mesem te ulet,6-15,Femer,3812
Malisheve,2023-2024,fillor-mesem te ulet,6-15,Mashkull,3733
Malisheve,2023-2024,fillor-mesem te ulet,6-15,Femer,3380
Mamushe,2023-2024,fillor-mesem te ulet,6-15,Mashkull,355
Mamushe,2023-2024,fillor-mesem te ulet,6-15,Femer,323
Mitrovice,2023-2024,fillor-mesem te ulet,6-15,Mashkull,4895
Mitrovice,2023-2024,fillor-mesem te ulet,6-15,Femer,4686
Novoberde,2023-2024,fillor-mesem te ulet,6-15,Mashkull,221
Novoberde,2023-2024,fillor-mesem te ulet,6-15,Femer,237
Obiliq,2023-2024,fillor-mesem te ulet,6-15,Mashkull,1426
Obiliq,2023-2024,fillor-mesem te ulet,6-15,Femer,1384
Peje,2023-2024,fillor-mesem te ulet,6-15,Mashkull,5622
Peje,2023-2024,fillor-mesem te ulet,6-15,Femer,5463
Podujeve,2023-2024,fillor-mesem te ulet,6-15,Mashkull,5172
Podujeve,2023-2024,fillor-mesem te ulet,6-15,Femer,5082
Prishtine,2023-2024,fillor-mesem te ulet,6-15,Mashkull,14698
Prishtine,2023-2024,fillor-mesem te ulet,6-15,Femer,14001
Prizren,2023-2024,fillor-mesem te ulet,6-15,Mashkull,9915
Prizren,2023-2024,fillor-mesem te ulet,6-15,Femer,9248
Rahovec,2023-2024,fillor-mesem te ulet,6-15,Mashkull,2954
Rahovec,2023-2024,fillor-mesem te ulet,6-15,Femer,2740
Shterpce,2023-2024,fillor-mesem te ulet,6-15,Mashkull,167
Shterpce,2023-2024,fillor-mesem te ulet,6-15,Femer,154
Shtime,2023-2024,fillor-mesem te ulet,6-15,Mashkull,1778
Shtime,2023-2024,fillor-mesem te ulet,6-15,Femer,1626
Skenderaj,2023-2024,fillor-mesem te ulet,6-15,Mashkull,2796
Skenderaj,2023-2024,fillor-mesem te ulet,6-15,Femer,2699
Suhareke,2023-2024,fillor-mesem te ulet,6-15,Mashkull,3260
Suhareke,2023-2024,fillor-mesem te ulet,6-15,Femer,2896
Viti,2023-2024,fillor-mesem te ulet,6-15,Mashkull,2507
Viti,2023-2024,fillor-mesem te ulet,6-15,Femer,2411
Vushtrri,2023-2024,fillor-mesem te ulet,6-15,Mashkull,4600
Vushtrri,2023-2024,fillor-mesem te ulet,6-15,Femer,4284
Zubin Potok,2023-2024,fillor-mesem te ulet,6-15,Mashkull,36
Zubin Potok,2023-2024,fillor-mesem te ulet,6-15,Femer,40
Zveqan,2023-2024,fillor-mesem te ulet,6-15,Mashkull,37
Zveqan,2023-2024,fillor-mesem te ulet,6-15,Femer,32
Kllokot,2023-2024,fillor-mesem te ulet,6-15,Mashkull,44
Kllokot,2023-2024,fillor-mesem te ulet,6-15,Femer,45
Deqan,2015-2016,mesem i larte,15-18,Mashkull,766
Deqan,2015-2016,mesem i larte,15-18,Femer,630
Dargash,2015-2016,mesem i larte,15-18,Mashkull,341
Dargash,2015-2016,mesem i larte,15-18,Femer,246
Ferizaj,2015-2016,mesem i larte,15-18,Mashkull,3284
Ferizaj,2015-2016,mesem i larte,15-18,Femer,3162
Fushe Kosove,2015-2016,mesem i larte,15-18,Mashkull,751
Fushe Kosove,2015-2016,mesem i larte,15-18,Femer,747
Gjakove,2015-2016,mesem i larte,15-18,Mashkull,2335
Gjakove,2015-2016,mesem i larte,15-18,Femer,1953
Gjilan,2015-2016,mesem i larte,15-18,Mashkull,2526
Gjilan,2015-2016,mesem i larte,15-18,Femer,2672
Gllogovc,2015-2016,mesem i larte,15-18,Mashkull,1575
Gllogovc,2015-2016,mesem i larte,15-18,Femer,1414
Hani i Elezit,2015-2016,mesem i larte,15-18,Mashkull,179
Hani i Elezit,2015-2016,mesem i larte,15-18,Femer,191
Istog,2015-2016,mesem i larte,15-18,Mashkull,996
Istog,2015-2016,mesem i larte,15-18,Femer,799
Junik,2015-2016,mesem i larte,15-18,Mashkull,122
Junik,2015-2016,mesem i larte,15-18,Femer,90
Kaqanik,2015-2016,mesem i larte,15-18,Mashkull,761
Kaqanik,2015-2016,mesem i larte,15-18,Femer,658
Kamenice,2015-2016,mesem i larte,15-18,Mashkull,809
Kamenice,2015-2016,mesem i larte,15-18,Femer,662
Kline,2015-2016,mesem i larte,15-18,Mashkull,897
Kline,2015-2016,mesem i larte,15-18,Femer,856
Leposaviq,2015-2016,mesem i larte,15-18,Mashkull,-
Leposaviq,2015-2016,mesem i larte,15-18,Femer,-
Lipjan,2015-2016,mesem i larte,15-18,Mashkull,1566
Lipjan,2015-2016,mesem i larte,15-18,Femer,1329
Malisheve,2015-2016,mesem i larte,15-18,Mashkull,1649
Malisheve,2015-2016,mesem i larte,15-18,Femer,1607
Mamushe,2015-2016,mesem i larte,15-18,Mashkull,78
Mamushe,2015-2016,mesem i larte,15-18,Femer,125
Mitrovice,2015-2016,mesem i larte,15-18,Mashkull,2232
Mitrovice,2015-2016,mesem i larte,15-18,Femer,2008
Novoberde,2015-2016,mesem i larte,15-18,Mashkull,17
Novoberde,2015-2016,mesem i larte,15-18,Femer,14
Obiliq,2015-2016,mesem i larte,15-18,Mashkull,348
Obiliq,2015-2016,mesem i larte,15-18,Femer,306
Peje,2015-2016,mesem i larte,15-18,Mashkull,2634
Peje,2015-2016,mesem i larte,15-18,Femer,2301
Podujeve,2015-2016,mesem i larte,15-18,Mashkull,2021
Podujeve,2015-2016,mesem i larte,15-18,Femer,1923
