Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Junik,2018-2019,Para-fillor,5-6,Femer,31
Kaqanik,2018-2019,Para-fillor,5-6,Mashkull,274
Kaqanik,2018-2019,Para-fillor,5-6,Femer,212
Kamenice,2018-2019,Para-fillor,5-6,Mashkull,170
Kamenice,2018-2019,Para-fillor,5-6,Femer,146
Kline,2018-2019,Para-fillor,5-6,Mashkull,253
Kline,2018-2019,Para-fillor,5-6,Femer,234
Leposaviq,2018-2019,Para-fillor,5-6,Mashkull,-
Leposaviq,2018-2019,Para-fillor,5-6,Femer,-
Lipjan,2018-2019,Para-fillor,5-6,Mashkull,457
Lipjan,2018-2019,Para-fillor,5-6,Femer,414
Malisheve,2018-2019,Para-fillor,5-6,Mashkull,535
Malisheve,2018-2019,Para-fillor,5-6,Femer,490
Mamushe,2018-2019,Para-fillor,5-6,Mashkull,27
Mamushe,2018-2019,Para-fillor,5-6,Femer,24
Mitrovice,2018-2019,Para-fillor,5-6,Mashkull,569
Mitrovice,2018-2019,Para-fillor,5-6,Femer,489
Novoberde,2018-2019,Para-fillor,5-6,Mashkull,20
Novoberde,2018-2019,Para-fillor,5-6,Femer,23
Obiliq,2018-2019,Para-fillor,5-6,Mashkull,164
Obiliq,2018-2019,Para-fillor,5-6,Femer,171
Peje,2018-2019,Para-fillor,5-6,Mashkull,662
Peje,2018-2019,Para-fillor,5-6,Femer,625
Podujeve,2018-2019,Para-fillor,5-6,Mashkull,611
Podujeve,2018-2019,Para-fillor,5-6,Femer,569
Prishtine,2018-2019,Para-fillor,5-6,Mashkull,1312
Prishtine,2018-2019,Para-fillor,5-6,Femer,1275
Prizren,2018-2019,Para-fillor,5-6,Mashkull,891
Prizren,2018-2019,Para-fillor,5-6,Femer,797
Rahovec,2018-2019,Para-fillor,5-6,Mashkull,418
Rahovec,2018-2019,Para-fillor,5-6,Femer,428
Shterpce,2018-2019,Para-fillor,5-6,Mashkull,20
Shterpce,2018-2019,Para-fillor,5-6,Femer,18
Shtime,2018-2019,Para-fillor,5-6,Mashkull,221
Shtime,2018-2019,Para-fillor,5-6,Femer,200
Skenderaj,2018-2019,Para-fillor,5-6,Mashkull,360
Skenderaj,2018-2019,Para-fillor,5-6,Femer,351
Suhareke,2018-2019,Para-fillor,5-6,Mashkull,406
Suhareke,2018-2019,Para-fillor,5-6,Femer,356
Viti,2018-2019,Para-fillor,5-6,Mashkull,234
Viti,2018-2019,Para-fillor,5-6,Femer,251
Vushtrri,2018-2019,Para-fillor,5-6,Mashkull,511
Vushtrri,2018-2019,Para-fillor,5-6,Femer,468
Zubin Potok,2018-2019,Para-fillor,5-6,Mashkull,6
Zubin Potok,2018-2019,Para-fillor,5-6,Femer,5
Zveqan,2018-2019,Para-fillor,5-6,Mashkull,-
Zveqan,2018-2019,Para-fillor,5-6,Femer,-
Kllokot,2018-2019,Para-fillor,5-6,Mashkull,-
Kllokot,2018-2019,Para-fillor,5-6,Femer,-
Deqan,2019-2020,Para-fillor,5-6,Mashkull,262
Deqan,2019-2020,Para-fillor,5-6,Femer,222
Dargash,2019-2020,Para-fillor,5-6,Mashkull,150
Dargash,2019-2020,Para-fillor,5-6,Femer,138
Ferizaj,2019-2020,Para-fillor,5-6,Mashkull,774
Ferizaj,2019-2020,Para-fillor,5-6,Femer,732
Fushe Kosove,2019-2020,Para-fillor,5-6,Mashkull,61
Fushe Kosove,2019-2020,Para-fillor,5-6,Femer,74
Gjakove,2019-2020,Para-fillor,5-6,Mashkull,532
Gjakove,2019-2020,Para-fillor,5-6,Femer,437
Gjilan,2019-2020,Para-fillor,5-6,Mashkull,656
Gjilan,2019-2020,Para-fillor,5-6,Femer,575
Gllogovc,2019-2020,Para-fillor,5-6,Mashkull,459
Gllogovc,2019-2020,Para-fillor,5-6,Femer,443
Hani i Elezit,2019-2020,Para-fillor,5-6,Mashkull,:
Hani i Elezit,2019-2020,Para-fillor,5-6,Femer,:
Istog,2019-2020,Para-fillor,5-6,Mashkull,210
Istog,2019-2020,Para-fillor,5-6,Femer,232
Junik,2019-2020,Para-fillor,5-6,Mashkull,40
Junik,2019-2020,Para-fillor,5-6,Femer,28
Kaqanik,2019-2020,Para-fillor,5-6,Mashkull,239
Kaqanik,2019-2020,Para-fillor,5-6,Femer,233
Kamenice,2019-2020,Para-fillor,5-6,Mashkull,149
Kamenice,2019-2020,Para-fillor,5-6,Femer,146
Kline,2019-2020,Para-fillor,5-6,Mashkull,297
Kline,2019-2020,Para-fillor,5-6,Femer,267
Leposaviq,2019-2020,Para-fillor,5-6,Mashkull,-
Leposaviq,2019-2020,Para-fillor,5-6,Femer,-
Lipjan,2019-2020,Para-fillor,5-6,Mashkull,458
Lipjan,2019-2020,Para-fillor,5-6,Femer,453
Malisheve,2019-2020,Para-fillor,5-6,Mashkull,464
Malisheve,2019-2020,Para-fillor,5-6,Femer,460
Mamushe,2019-2020,Para-fillor,5-6,Mashkull,29
Mamushe,2019-2020,Para-fillor,5-6,Femer,40
Mitrovice,2019-2020,Para-fillor,5-6,Mashkull,588
Mitrovice,2019-2020,Para-fillor,5-6,Femer,503
Novoberde,2019-2020,Para-fillor,5-6,Mashkull,24
Novoberde,2019-2020,Para-fillor,5-6,Femer,20
Obiliq,2019-2020,Para-fillor,5-6,Mashkull,149
Obiliq,2019-2020,Para-fillor,5-6,Femer,127
Peje,2019-2020,Para-fillor,5-6,Mashkull,659
Peje,2019-2020,Para-fillor,5-6,Femer,576
Podujeve,2019-2020,Para-fillor,5-6,Mashkull,551
Podujeve,2019-2020,Para-fillor,5-6,Femer,578
Prishtine,2019-2020,Para-fillor,5-6,Mashkull,1363
Prishtine,2019-2020,Para-fillor,5-6,Femer,1254
Prizren,2019-2020,Para-fillor,5-6,Mashkull,901
